id,readme,,,Biodiesel MFSP GGE,Jet-A MFSP GGE,EtOH MFSP GGE,,Biodiesel Raw ($/kg Biodiesel),Biodiesel GGE,,Jet-A Raw ($/kg Jet),Jet-A GGE,,EtOH-Raw ($/kg EtOH),EtOH GGE,,,Corn MBSP ($/kg) ,Corn GWP,,Soy MBSP ($/kg),Soy GWP,,fips,MC_Soy MFSPs
1057,4.39841271,,,22.62634562,20.31243202,7.256526347,,6.441149318,22.62634562,,7.046147835,20.31243202,,2.462483247,7.256526347,,,0.277832397,33.10038584,,1.110340686,49.25694393,,1057,21.41999857
1059,3.172268867,,,19.76818674,17.78156331,6.349739221,,5.627503648,19.76818674,,6.168218737,17.78156331,,2.154767406,6.349739221,,,0.277832397,16.05780452,,1.113132829,41.75028415,,1059,16.60215151
1061,6.554696481,,,22.09930916,19.84574698,7.161326927,,6.291115345,22.09930916,,6.88426019,19.84574698,,2.430177572,7.161326927,,,0.277832397,31.76274138,,1.110806047,48.00583396,,1061,21.52094689
1063,0,,,190,190,28.23088508,,30,190,,30,190,,9.580077053,28.23088508,,,0.277832397,72.04070245,,100,0,,1063,0
1065,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,1065,0
1067,3.376216939,,,25.64716406,22.98733395,6.703210024,,7.301100056,25.64716406,,7.974040388,22.98733395,,2.274716799,6.703210024,,,0.277832397,24.03412892,,1.10801391,55.51249374,,1067,22.8970832
1069,27.99701669,,,21.20507527,19.05391254,7.039422934,,6.036549534,21.20507527,,6.609581976,19.05391254,,2.388809771,7.039422934,,,0.277832397,29.92967304,,1.111643673,45.75383603,,1069,30.60159658
1071,5.544713804,,,19.27391859,17.34389427,6.700694012,,5.486797986,19.27391859,,6.016396408,17.34389427,,2.273862997,6.700694012,,,0.277832397,23.98458653,,1.113691247,40.2489522,,1071,20.57511992
1073,0,,,190,190,8.352038307,,30,190,,30,190,,2.834242367,8.352038307,,,0.277832397,44.29696543,,100,0,,1073,0
1075,7.113032482,,,29.33222897,26.25041863,190,,8.350144995,29.33222897,,9.10596674,26.25041863,,25,190,,,100,0,,1.105780189,61.51782155,,1075,25.34964075
1077,2.750892752,,,15.22550473,13.7589226,6.634456381,,4.334316776,15.22550473,,4.772811182,13.7589226,,2.25138543,6.634456381,,,0.277832397,22.64694207,,1.119461672,24.73518867,,1077,16.84764562
1079,8.040541779,,,13.99575076,12.6696388,6.390617624,,3.984236869,13.99575076,,4.394951225,12.6696388,,2.168639385,6.390617624,,,0.277832397,17.09819466,,1.121788452,18.47963886,,1079,17.00853437
1081,0,,,190,190,8.26950878,,30,190,,30,190,,2.806236188,8.26950878,,,0.277832397,43.65291439,,100,0,,1081,0
1083,1.85523878,,,15.38578906,13.90089808,6.224697674,,4.379945679,15.38578906,,4.822060835,13.90089808,,2.112334884,6.224697674,,,0.277832397,12.63937978,,1.119182449,25.48585465,,1083,12.34532625
1085,6.653790764,,,20.55389563,18.47730011,8.371529628,,5.851175132,20.55389563,,6.40956179,18.47730011,,2.840856696,8.371529628,,,0.277832397,44.44559259,,1.112295185,44.00228209,,1085,21.0341522
1087,6.760749087,,,25.64716406,22.98733395,190,,7.301100056,25.64716406,,7.974040388,22.98733395,,25,190,,,100,0,,1.10801391,55.51249374,,1087,21.34787358
1089,5.213533587,,,19.03505297,17.13238136,6.498086548,,5.418798973,19.03505297,,5.943025025,17.13238136,,2.205108684,6.498086548,,,0.277832397,19.67439882,,1.113970458,39.49828622,,1089,16.1157742
1091,6.425292833,,,31.56725316,28.22950864,7.157905984,,8.98639995,31.56725316,,9.792490185,28.22950864,,2.429016684,7.157905984,,,0.277832397,31.71319899,,1.104663343,64.52048546,,1091,26.95589818
1093,5.197805065,,,20.73621108,18.63873824,7.157905984,,5.903075737,20.73621108,,6.465562812,18.63873824,,2.429016684,7.157905984,,,0.277832397,31.71319899,,1.112109037,44.50272607,,1093,18.80366558
1095,3.078084366,,,19.11408063,17.20235954,6.857439202,,5.441296154,19.11408063,,5.967299646,17.20235954,,2.327054067,6.857439202,,,0.277832397,26.9075874,,1.113877394,39.74850822,,1095,15.47508549
1097,4.330669857,,,26.20022957,23.47706728,190,,7.458543842,26.20022957,,8.143923219,23.47706728,,25,190,,,100,0,,1.107641617,56.5133817,,1097,24.17329665
1099,5.188905834,,,24.72951944,22.1747695,6.843467267,,7.039869802,24.72951944,,7.692171176,22.1747695,,2.322312728,6.843467267,,,0.277832397,26.65987546,,1.108665412,53.76093979,,1099,24.46037186
1101,8.890610994,,,23.98987123,21.51981902,6.968196056,,6.829310631,23.98987123,,7.464976425,21.51981902,,2.364639116,6.968196056,,,0.277832397,28.79019812,,1.10922383,52.25960783,,1101,22.43781374
1103,4.272197735,,,16.7834204,15.13858529,6.432910239,,4.777816031,16.7834204,,5.25140022,15.13858529,,2.182991274,6.432910239,,,0.277832397,18.1385848,,1.116948742,31.49118247,,1103,15.77993344
1105,3.020539671,,,19.60091524,17.63344649,6.977300018,,5.579885675,19.60091524,,6.116838727,17.63344649,,2.367728522,6.977300018,,,0.277832397,28.93882529,,1.113318958,41.24984017,,1105,14.87736481
1107,4.725987763,,,11.82077424,10.74362621,6.336415126,,3.36507597,11.82077424,,3.726839725,10.74362621,,2.150245909,6.336415126,,,0.277832397,15.71100781,,1.12690736,4.717429283,,1107,13.50149232
1109,3.340296702,,,19.27391859,17.34389427,7.224173084,,5.486797986,19.27391859,,6.016396408,17.34389427,,2.451504251,7.224173084,,,0.277832397,32.65450435,,1.113691247,40.2489522,,1109,15.12511175
1111,0,,,190,190,9.264503294,,30,190,,30,190,,3.143884975,9.264503294,,,0.277832397,50.09342477,,100,0,,1111,0
1113,13.04584363,,,40.37252727,36.02648269,7.107452487,,11.49303917,40.37252727,,12.49717034,36.02648269,,2.411895422,7.107452487,,,0.277832397,30.97006318,,1.101405849,73.27825519,,1113,37.16743589
1115,0,,,190,190,8.678430407,,30,190,,30,190,,2.945002672,8.678430407,,,0.277832397,46.62545764,,100,0,,1115,0
1117,5.690392766,,,14.41787097,13.04354179,7.16819058,,4.104403835,14.41787097,,4.524653851,13.04354179,,2.432506735,7.16819058,,,0.277832397,31.86182615,,1.120950806,20.73163679,,1117,15.43063904
1119,8.61733151,,,22.51911325,20.21747891,7.884863865,,6.410622971,22.51911325,,7.013209698,20.21747891,,2.675707941,7.884863865,,,0.277832397,40.28403203,,1.110433758,49.00672193,,1119,25.36505005
1121,3.948493517,,,16.35324345,14.75766812,6.365149674,,4.655355515,16.35324345,,5.119264457,14.75766812,,2.159996903,6.365149674,,,0.277832397,16.45414363,,1.117600238,29.73962852,,1121,14.6392886
1123,0,,,190,190,6.90306882,,30,190,,30,190,,2.342538359,6.90306882,,,0.277832397,27.7002656,,100,0,,1123,0
1125,3.55096487,,,17.63779958,15.89512889,6.610725092,,5.021036212,17.63779958,,5.513836447,15.89512889,,2.243332279,6.610725092,,,0.277832397,22.15151819,,1.115738815,34.74406837,,1125,16.13001744
1127,8.32857954,,,26.48509987,23.72931669,7.416778309,,7.539639225,26.48509987,,8.231425625,23.72931669,,2.516864331,7.416778309,,,0.277832397,35.18116612,,1.107455479,57.01382569,,1127,24.91761363
1129,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,1129,0
1131,0,,,190,190,7.465528579,,30,190,,30,190,,2.533407608,7.465528579,,,0.277832397,35.77567477,,100,0,,1131,0
1133,0,,,190,190,17.87544001,,30,190,,30,190,,6.065983839,17.87544001,,,0.277832397,67.43326041,,100,0,,1133,0
4001,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,4001,0
4003,0,,,190,190,6.007966615,,30,190,,30,190,,2.038787766,6.007966615,,,0.277832397,5.703445528,,100,0,,4003,0
4005,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,4005,0
4007,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,4007,0
4009,0,,,190,190,5.787971457,,30,190,,30,190,,1.964132984,5.787971457,,,0.277832397,-3.01601468,,100,0,,4009,0
4011,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,4011,0
4012,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,4012,0
4013,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,4013,0
4015,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,4015,0
4017,0,,,190,190,7.624813206,,30,190,,30,190,,2.58746043,7.624813206,,,0.277832397,37.60874311,,100,0,,4017,0
4019,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,4019,0
4021,0,,,190,190,5.449566121,,30,190,,30,190,,1.849296018,5.449566121,,,0.277832397,-21.44578285,,100,0,,4021,0
4023,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,4023,0
4025,0,,,190,190,7.86435157,,30,190,,30,190,,2.668747147,7.86435157,,,0.277832397,40.08586248,,100,0,,4025,0
4027,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,4027,0
5001,3.403048668,,,13.59461991,12.31434735,6.20098516,,3.870045046,13.59461991,,4.271704727,12.31434735,,2.104288104,6.20098516,,,0.277832397,11.94578636,,1.122626092,16.22764093,,5001,11.23672638
5003,4.347309336,,,12.88890747,11.68944661,6.155017133,,3.669146533,12.88890747,,4.054933888,11.68944661,,2.088688974,6.155017133,,,0.277832397,10.55859951,,1.124208291,11.97386706,,5003,13.3474153
5005,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5005,0
5007,11.0969177,,,19.76818674,17.78156331,8.018075844,,5.627503648,19.76818674,,6.168218737,17.78156331,,2.720913078,8.018075844,,,0.277832397,41.52259172,,1.113132829,41.75028415,,5007,21.83711815
5009,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5009,0
5011,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5011,0
5013,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5013,0
5015,0,,,190,190,190,,30,190,,30,190,,25,190,,,100,0,,100,0,,5015,0
5017,3.85150479,,,14.46614063,13.08629781,6.325111467,,4.11814499,14.46614063,,4.53948542,13.08629781,,2.146410042,6.325111467,,,0.277832397,15.41375349,,1.120857739,20.98185879,,5017,12.52833052
5019,7.166540681,,,20.46382321,18.3975419,190,,5.825533788,20.46382321,,6.381894589,18.3975419,,25,190,,,100,0,,1.112388251,43.75206009,,5019,19.1457206
