Source,Cost ($/gge),Energy Content (GJ/gal),GHG (g CO2e/MJ),Post-Combustion GHG (g CO2e/MJ),Arable Land (m2/GJ/yr),Non-Arable Land (m2/GJ/yr),Rain and Process Water (m3/GJ),WDP (m3/GJ),Biomass (t/GJ),Nitrogen (g/GJ),Phosphorus (g/GJ),Potassium (g/GJ),Diesel Co-P (kg/kg jet),Gasoline Co-P (kg/kg jet),Propane Co-P (kg/kg jet),LPG Co-P (kg/kg jet)
Soybean HEFA,14.85,0.140593068,-54.06,20.94,370.75,0,97.3,0.07,0.11,102.08,178.29,571.78,0.47,0.12,0.09,0.12
Corn AF,6.66,0.140593068,-34.08,40.92,85.52,0,41.93,0.26,0.12,1186.38,176.83,509.06,0.11,0.21,0,0
Forestry Biomass FT,7.11,0.140593068,-4.12,70.88,99.64,0,46.33,0.21,0.11,354.82,34.87,35.46,2.05,1.07,0,0
Grasses FT,8.24,0.140593068,-33.13,41.87,128.17,0,81.48,0.19,0.11,1512.4,285.18,128.17,2.05,1.07,0,0
Marine Microalgae HTL,16.79,0.140593068,33.9,108.9,0,10.95,0.02,0.49,0.05,226.6,21.24,0,0.47,0.12,0.09,0.12
