"","fips","area_acres"
"355",26045,82700
"356",26049,45700
"357",26057,89500
"358",26059,88600
"359",26065,52000
"360",26067,80100
"361",26073,25300
"362",26075,36800
"363",26077,31300
"364",26081,20300
"365",26087,35200
"366",26091,162500
"367",26099,21700
"368",26111,27900
"369",26115,122200
"370",26145,139100
"371",26147,52500
"372",26149,91600
"373",26151,93200
"374",26155,74300
"375",26157,56400
"376",26159,19900
"377",26161,57100
"378",27009,19700
"379",27011,86300
"380",27013,284100
"381",27015,290600
"382",27019,63500
"383",27023,227200
"384",27025,23400
"385",27033,308700
"386",27037,108400
"387",27039,175100
"388",27041,43500
"389",27043,288900
"390",27045,148400
"391",27047,242400
"392",27049,129300
"393",27051,81200
"394",27053,13100
"395",27055,16300
"396",27059,45800
"397",27063,340900
"398",27067,161200
"399",27073,252400
"400",27079,142900
"401",27081,131200
"402",27083,279300
"403",27085,171500
"404",27091,347600
"405",27093,183500
"406",27099,311200
"407",27101,295300
"408",27103,178200
"409",27105,346200
"410",27109,95500
"411",27111,65500
"412",27117,178600
"413",27121,143300
"414",27127,424400
"415",27129,428600
"416",27131,125300
"417",27133,226200
"418",27139,42400
"419",27141,14600
"420",27143,253400
"421",27145,89900
"422",27147,145600
"423",27149,184100
"424",27151,269000
"425",27155,67700
"426",27157,40800
"427",27161,156200
"428",27163,40400
"429",27165,215000
"430",27167,25600
"431",27169,17700
"432",27171,138000
"433",27173,337400
"434",28103,24400
"435",29001,12500
"436",29003,77100
"437",29005,219600
"438",29007,97300
"439",29013,37500
"440",29019,26000
"441",29021,67100
"442",29025,25400
"443",29027,29900
"444",29031,27000
"445",29033,107800
"446",29037,35500
"447",29041,92900
"448",29045,79700
"449",29047,21200
"450",29049,48000
"451",29053,77500
"452",29061,53300
"453",29063,39200
"454",29075,59300
"455",29079,40400
"456",29081,56700
"457",29083,19800
"458",29087,176700
"459",29089,61800
"460",29095,36300
"461",29101,30400
"462",29103,67300
"463",29107,150000
"464",29111,101000
"465",29113,66200
"466",29115,39700
"467",29117,40000
"468",29121,50300
"469",29127,65500
"470",29129,48700
"471",29133,33200
"472",29137,49000
"473",29139,47200
"474",29143,21200
"475",29147,241600
"476",29155,13700
"477",29157,23800
"478",29159,57500
"479",29163,76700
"480",29165,38000
"481",29173,41300
"482",29177,50800
"483",29183,96400
"484",29186,7900
"485",29195,188100
"486",29199,61700
"487",29201,20200
"488",29205,70600
"489",29207,36400
"490",29217,23800
"491",29219,34600
"492",29227,24500
"493",31001,41800
"494",31003,130700
"495",31011,86900
"496",31015,16300
"497",31021,207500
"498",31023,133200
"499",31025,224100
"500",31027,208400
"501",31035,77100
"502",31037,154900
"503",31039,190600
"504",31043,92500
"505",31051,105800
"506",31053,230400
"507",31055,56300
"508",31059,80300
"509",31061,12600
"510",31067,81700
"511",31081,44900
"512",31089,37300
"513",31093,19300
"514",31095,54300
"515",31097,52900
"516",31099,25100
"517",31107,110800
"518",31109,105700
"519",31119,183600
"520",31121,17600
"521",31125,30600
"522",31127,148100
"523",31129,14800
"524",31131,198200
"525",31133,26400
"526",31137,18200
"527",31139,134400
"528",31141,221400
"529",31143,86800
"530",31147,168400
"531",31151,75300
"532",31153,67800
"533",31155,294600
"534",31159,131100
"535",31167,111500
"536",31169,45100
"537",31173,116900
"538",31175,18000
"539",31177,141600
"540",31179,130000
"541",31185,94200
"542",34033,16500
"543",36073,8700
"544",36099,8900
"545",37053,13200
"546",37139,18100
"547",37143,24200
"548",37177,18000
"549",38017,46900
"550",38073,26100
"551",38077,164100
"552",38081,22100
"553",39001,14800
"554",39003,105000
"555",39005,51100
"556",39007,15600
"557",39011,123800
"558",39015,37100
"559",39017,44500
"560",39021,130300
"561",39023,112700
"562",39025,23000
"563",39027,130100
"564",39029,27400
"565",39033,127400
"566",39037,230800
"567",39039,63700
"568",39041,93500
"569",39043,44500
"570",39045,83100
"571",39047,164700
"572",39049,36500
"573",39051,130700
"574",39057,122400
"575",39061,9700
"576",39063,134400
"577",39065,150500
"578",39069,133200
"579",39071,58000
"580",39077,119400
"581",39083,46400
"582",39089,64300
"583",39091,117600
"584",39093,35300
"585",39095,39800
"586",39097,192500
"587",39099,19600
"588",39101,136000
"589",39103,28400
"590",39107,144100
"591",39109,123500
"592",39113,75900
"593",39117,84100
"594",39123,38500
"595",39125,101900
"596",39127,15800
"597",39129,172800
"598",39133,21500
"599",39135,133500
"600",39137,112400
"601",39139,64700
"602",39141,82600
"603",39143,101700
"604",39147,152000
"605",39149,129500
"606",39151,42700
"607",39155,40500
"608",39159,112100
"609",39161,155200
"610",39165,44300
"611",39169,73800
"612",39171,73600
"613",39173,165100
"614",39175,92200
"615",42071,8100
"616",42075,8200
"617",45027,25400
"618",45075,41100
"619",45085,21300
"620",46003,39300
"621",46005,95200
"622",46009,117100
"623",46011,167600
"624",46013,129700
"625",46023,115600
"626",46025,59600
"627",46027,155000
"628",46029,67600
"629",46035,88700
"630",46037,54000
"631",46039,70200
"632",46043,66300
"633",46049,14900
"634",46051,104300
"635",46053,11800
"636",46057,137100
"637",46061,103800
"638",46067,254500
"639",46077,195800
"640",46079,178800
"641",46083,249000
"642",46087,180800
"643",46091,38400
"644",46097,102200
"645",46099,237400
"646",46101,185300
"647",46109,122100
"648",46111,29200
"649",46115,100700
"650",46125,256100
"651",46127,176900
"652",46135,133700
"653",47015,12000
"654",47017,22000
"655",47031,23900
"656",47045,14000
"657",47051,29500
"658",47053,57100
"659",47071,13100
"660",47079,32900
"661",47095,4100
"662",47125,17400
"663",47131,83400
"664",47183,74600
"665",55021,22200
"666",55025,50500
"667",55027,56200
"668",55033,23800
"669",55035,14000
"670",55039,39800
"671",55043,21000
"672",55045,24400
"673",55055,49400
"674",55057,24500
"675",55059,33700
"676",55065,54100
"677",55079,3700
"678",55091,10900
"679",55093,15000
"680",55101,38500
"681",55105,92900
"682",55109,19100
"683",55127,65700
"684",55131,12700
"685",55133,15800
"686",55139,16400
