"","fips","simyear","stover_removal","SOC_20cm_g_m2"
"195",17003,2029,"G50S",4384.41546
"196",17003,2029,"G75S",4232.89866
"197",17003,2030,"G",4715.98486
"198",17003,2030,"G25S",4552.63719
"199",17003,2030,"G50S",4387.52733
"200",17003,2030,"G75S",4216.28394
"201",17003,2031,"G",4736.60397
"202",17003,2031,"G25S",4577.77579
"203",17003,2031,"G50S",4416.8479
"204",17003,2031,"G75S",4250.34704
"205",17003,2032,"G",4786.29059
"206",17003,2032,"G25S",4605.88782
"207",17003,2032,"G50S",4424.35963
"208",17003,2032,"G75S",4235.92819
"209",17003,2033,"G",4797.71918
"210",17003,2033,"G25S",4621.86913
"211",17003,2033,"G50S",4444.92099
"212",17003,2033,"G75S",4261.53607
"213",17003,2034,"G",4848.28524
"214",17003,2034,"G25S",4651.31451
"215",17003,2034,"G50S",4452.25692
"216",17003,2034,"G75S",4246.22503
"217",17003,2035,"G",4875.46638
"218",17003,2035,"G25S",4683.89712
"219",17003,2035,"G50S",4489.87615
"220",17003,2035,"G75S",4288.91249
"221",17003,2036,"G",4926.27382
"222",17003,2036,"G25S",4715.37797
"223",17003,2036,"G50S",4502.23336
"224",17003,2036,"G75S",4282.2496
"225",17003,2037,"G",4955.78763
"226",17003,2037,"G25S",4750.99088
"227",17003,2037,"G50S",4543.97166
"228",17003,2037,"G75S",4330.76233
"229",17003,2038,"G",5002.05431
"230",17003,2038,"G25S",4778.22993
"231",17003,2038,"G50S",4552.03803
"232",17003,2038,"G75S",4318.68955
"233",17003,2039,"G",5010.6792
"234",17003,2039,"G25S",4794.69764
"235",17003,2039,"G50S",4576.33999
"236",17003,2039,"G75S",4351.45471
"237",17003,2040,"G",5026.90272
"238",17003,2040,"G25S",4795.82514
"239",17003,2040,"G50S",4562.41623
"240",17003,2040,"G75S",4321.67083
"241",17005,2011,"G",4420.3324
"242",17005,2011,"G25S",4420.2324
"243",17005,2011,"G50S",4420.1206
"244",17005,2011,"G75S",4420.0852
"245",17005,2012,"G",4479.1648
"246",17005,2012,"G25S",4447.4938
"247",17005,2012,"G50S",4415.511
"248",17005,2012,"G75S",4382.5872
"249",17005,2013,"G",4486.3946
"250",17005,2013,"G25S",4456.7728
"251",17005,2013,"G50S",4426.9156
"252",17005,2013,"G75S",4396.582
"253",17005,2014,"G",4542.1232
