fips,County,ST,stover_removal,corn_yield_Mg_ha,soy_yield_Mg_ha,stover_yield_Mg_ha,dSOC_MgCO2e_ha,N2O_MgCO2e_ha,area_ha,GHG_MgCO2e_ha,corn_prod_Mt_y,soy_prod_Mt_y,stover_prod_Mt_y,dSOC_MtCO2e,N2O_MtCO2e,GHG_MtCO2e
17001,Adams,IL,no_stover_BAU,12.167596037048202,3.781892447206921,0.0,251.257136415302,1.4802063866066963,90892.47559999999,-249.7769300286953,0.5529714629540301,0.17187278348978963,0.0,22.837383140953705,0.13453962287761329,-22.70284351807609
17001,Adams,IL,25pct_stover,12.163762154750746,3.792497272970638,3.171844465116278,243.54469771091385,1.4501685955522239,90892.47559999999,-242.09452911536164,0.5527972274274427,0.1723547329232751,0.14414839782628816,22.136380494198608,0.13180941368711674,-22.004571080511493
17001,Adams,IL,50pct_stover,12.156676345244044,3.801587123625253,6.340456496124031,235.729660405948,1.4004544137395585,90892.47559999999,-234.32920599220844,0.5524752040435956,0.17276783243769125,0.28814989368340743,21.42605240664391,0.12729076862973512,-21.298761638014177
17001,Adams,IL,75pct_stover,12.139374385354937,3.8113546337099367,9.499163100775196,227.62835884517636,1.3784964609552366,90892.47559999999,-226.24986238422113,0.5516888950600692,0.17321172902371365,0.4317012251788148,20.689705052203234,0.1252949559420602,-20.564410096261174
17003,Alexander,IL,no_stover_BAU,10.814741350413234,3.7049455030293275,0.0,169.7671873656539,1.2850884234061537,11007.4592,-168.48209894224775,0.05952141208661328,0.0203910182314094,0.0,1.8687053884261906,0.01414555838903556,-1.854559830037155
17003,Alexander,IL,25pct_stover,10.813139769288496,3.712322890801818,2.443303085271318,165.06982896782836,1.256102593431855,11007.4592,-163.8137263743965,0.05951259741717026,0.02043162137886353,0.013447279512179075,1.8169994075143485,0.01382649804821533,-1.8031729094661333
17003,Alexander,IL,50pct_stover,10.809035487825208,3.71925763771378,4.884001674418607,160.30696591920884,1.2359723883290492,11007.4592,-159.07099353087978,0.059490008561794025,0.020469788350711404,0.02688022458194725,1.7645723868314815,0.013604915636858565,-1.750967471194623
17003,Alexander,IL,75pct_stover,10.801843924293568,3.7249086088464693,7.320606961240311,155.40184511325938,1.2130943165524377,11007.4592,-154.18875079670696,0.05945042814071466,0.020500889767803135,0.040290641222544346,1.7105794696889218,0.013353086195202842,-1.6972263834937191
17005,Bond,IL,no_stover_BAU,9.894504171064542,2.9162929524468715,0.0,173.20310479129188,1.0424962060755334,43058.5904,-172.16060858521635,0.2130217011564798,0.06278573186290826,0.0,7.457881545216514,0.04488841713096038,-7.412993128085554
17005,Bond,IL,25pct_stover,9.880052570172182,2.916225589478764,2.7332173643410855,168.22913526257256,1.030255709074034,43058.5904,-167.19887955349853,0.21271056837475563,0.06278428158568232,0.05884424348266518,7.243709428617308,0.04436135858428039,-7.199348070033028
